Time,Category,Item,Description,Price,Price Note,Signature,Veg Flag
1 PM - CLOSING,Non-Veg Starters,Chicken Lollipop,Six crispy chicken lollipops served with house dip.,299,,,non-veg
1 PM - CLOSING,Non-Veg Starters,Chicken Potato Kebab,Crisp chicken and potato kebabs seasoned with herbs and spices.,279,,,non-veg
1 PM - CLOSING,Non-Veg Starters,Fish Fingers,Crispy fish fingers with house dip.,329,,,non-veg
ALL DAY,Crispy Chicken,LovBites Chicken Bucket,Crispy chicken assortment with house dips.,499,,,non-veg
ALL DAY,Crispy Chicken,Chicken Popcorn,Bite-sized crispy chicken with dip.,229,,,non-veg
ALL DAY,Crispy Chicken,Peri Peri Wings,Crispy wings tossed in peri-peri seasoning.,279,,,veg
ALL DAY,Crispy Chicken,Korean Crispy Chicken,Crispy chicken glazed with sweet-spicy Korean-style sauce.,299,,Yes,non-veg
1 PM - CLOSING,Indo-Chinese,Veg Spring Roll,"Crispy rolls filled with seasoned vegetables, served with chilli dip.",179,,,veg
1 PM - CLOSING,Indo-Chinese,Veg Manchurian,Vegetable dumplings tossed in a tangy Indo-Chinese sauce.,199,,,veg
1 PM - CLOSING,Indo-Chinese,Veg Fried Rice,Wok-tossed rice with vegetables.,179,,,veg
1 PM - CLOSING,Indo-Chinese,Sautéed Vegetables,"Seasonal vegetables lightly sautéed with garlic, herbs and seasoning.",199,,,veg
1 PM - CLOSING,Indo-Chinese,Egg Fried Rice,Wok-tossed rice with egg and vegetables.,199,,,egg
1 PM - CLOSING,Indo-Chinese,Chicken Fried Rice,Wok-tossed rice with chicken and vegetables.,229,,,non-veg
1 PM - CLOSING,Indo-Chinese,Veg Hakka Noodles,Wok-tossed noodles with vegetables.,189,,,veg
1 PM - CLOSING,Indo-Chinese,Chicken Hakka Noodles,Wok-tossed noodles with chicken and vegetables.,229,,,non-veg
1 PM - CLOSING,Indo-Chinese,Chilli Chicken + Fried Rice Combo,Dry chilli chicken paired with fried rice.,399,,,non-veg
1 PM - CLOSING,Kebab & Tandoor,Chicken Tikka - 8 Pc,Smoky boneless chicken tikka.,329,,Yes,non-veg
1 PM - CLOSING,Kebab & Tandoor,Chicken Malai Tikka - 8 Pc,Creamy tender boneless chicken tikka.,349,,,non-veg
1 PM - CLOSING,Kebab & Tandoor,Murgh Pahadi Kebab,"Chicken marinated with mint, coriander, yoghurt and spices, grilled in the tandoor.",339,,,non-veg
1 PM - CLOSING,Kebab & Tandoor,Murgh Kali Mirch Kebab,Creamy black-pepper chicken kebabs roasted in the tandoor.,349,,,non-veg
1 PM - CLOSING,Kebab & Tandoor,Chicken Leg Kebab,Spiced roasted chicken leg kebab.,289,,,non-veg
1 PM - CLOSING,Kebab & Tandoor,Badshahi Tangri Kebab,Chicken drumsticks marinated in rich spices and roasted in the tandoor.,349,,,non-veg
1 PM - CLOSING,Kebab & Tandoor,Murgh Seekh Kebab,"Minced chicken skewers with herbs and spices, char-grilled.",329,,,non-veg
1 PM - CLOSING,Kebab & Tandoor,Tandoori Chicken - Half,Half chicken roasted in tandoor.,399,,,non-veg
1 PM - CLOSING,Kebab & Tandoor,Tandoori Chicken - Full,Full chicken roasted in tandoor.,699,,,non-veg
1 PM - CLOSING,Kebab & Tandoor,Tandoori Fish Tikka,Tandoori fish pieces with herbs and spices.,349,,,non-veg
1 PM - CLOSING,Sizzlers,Garden Veg Sizzler,"Paneer, vegetables, rice and fries served sizzling.",429,,,veg
1 PM - CLOSING,Sizzlers,Smoky Chicken Sizzler,"Grilled chicken, vegetables, rice and fries.",499,,,non-veg
1 PM - CLOSING,Veg Main Course,Yellow Dal Tadka,Yellow dal tempered with Indian spices.,159,,,veg
1 PM - CLOSING,Veg Main Course,Dal Makhani Signature,Slow-cooked black dal with butter and cream.,229,,Yes,veg
1 PM - CLOSING,Veg Main Course,Garden Mix Veg,Seasonal vegetables in light Indian masala.,199,,,veg
1 PM - CLOSING,Veg Main Course,Kadhai Paneer Signature,"Paneer, capsicum and onion in kadhai masala.",249,,Yes,veg
1 PM - CLOSING,Veg Main Course,Paneer Patiala,"Paneer cooked in a rich, mildly spiced onion-tomato gravy.",259,,,veg
1 PM - CLOSING,Veg Main Course,Shahi Paneer,"Paneer in a rich, mildly sweet cashew-and-cream gravy.",259,,,veg
1 PM - CLOSING,Veg Main Course,Mushroom Masala,Mushroom in rich onion-tomato masala.,229,,,veg
1 PM - CLOSING,Veg Main Course,Veg Kofta,"Vegetable koftas simmered in a smooth, mildly spiced gravy.",229,,,veg
1 PM - CLOSING,Non-Veg Main Course,Chicken Dehati,Home-style chicken curry with aromatic spices.,299,,,non-veg
1 PM - CLOSING,Non-Veg Main Course,Kadhai Chicken,"Chicken with capsicum, onion and kadhai masala.",329,,,non-veg
1 PM - CLOSING,Non-Veg Main Course,Butter Chicken,Tender chicken in creamy makhani gravy.,329,,Yes,non-veg
1 PM - CLOSING,Non-Veg Main Course,Chicken Rara,Chicken cooked in a robust onion-tomato gravy with minced chicken and spices.,349,,,non-veg
1 PM - CLOSING,Non-Veg Main Course,Chicken Bhuna,"Chicken slow-cooked in a thick, intensely spiced bhuna masala.",349,,,non-veg
1 PM - CLOSING,Non-Veg Main Course,Slow-Cooked Mutton Curry,Slow-cooked mutton curry with Indian spices.,429,,Yes,non-veg
1 PM - CLOSING,Non-Veg Main Course,Mutton Bhuna,Tender mutton slow-cooked in a thick roasted-spice gravy.,449,,,non-veg
1 PM - CLOSING,Non-Veg Main Course,Egg Curry,Boiled eggs in homestyle onion-tomato gravy.,199,,,egg
1 PM - CLOSING,Breads,Tandoori Roti,Clay-oven roasted whole-wheat roti.,35,,,veg
1 PM - CLOSING,Breads,Butter Tandoori Roti,Tandoori roti finished with butter.,45,,,veg
1 PM - CLOSING,Breads,Classic Naan,Soft tandoori naan.,55,,,veg
1 PM - CLOSING,Breads,Butter Naan,Soft naan brushed with butter.,65,,,veg
1 PM - CLOSING,Breads,Garlic Butter Naan,"Garlic, coriander and butter naan.",85,,,veg
1 PM - CLOSING,Breads,Cheese Naan,Soft tandoori naan filled with melted cheese.,99,,,veg
1 PM - CLOSING,Breads,Cheese Garlic Naan,Garlic naan stuffed with cheese and finished with butter.,119,,,veg
1 PM - CLOSING,Breads,Stuffed Kulcha,Tandoori kulcha stuffed with seasoned potato and herbs.,99,,,veg
1 PM - CLOSING,Breads,Lachha Paratha,Flaky layered tandoori paratha.,79,,,veg
1 PM - CLOSING,Rice & Biryani,Steamed Basmati Rice,Steamed basmati rice.,129,,,veg
1 PM - CLOSING,Rice & Biryani,Jeera Rice,Basmati rice tempered with cumin.,149,,,veg
1 PM - CLOSING,Rice & Biryani,Veg Dum Biryani,Aromatic vegetable dum biryani with raita.,249,,,veg
1 PM - CLOSING,Rice & Biryani,Chicken Dum Biryani Signature,Signature chicken dum biryani with raita.,329,,Yes,non-veg
1 PM - CLOSING,Rice & Biryani,Mutton Dum Biryani,Slow-cooked mutton dum biryani.,429,,,non-veg
1 PM - CLOSING,Salad & Papad,Fresh Garden Salad,"Cucumber, onion, tomato and lemon.",79,,,veg
1 PM - CLOSING,Salad & Papad,Masala Papad,"Papad topped with onion, tomato and masala.",79,,,veg
1 PM - CLOSING,Salad & Papad,Boondi Raita,Chilled seasoned curd with boondi.,79,,,veg
1 PM - CLOSING,Salad & Papad,Plain Curd,Fresh chilled curd.,69,,,veg
ALL DAY,Beverage,Packaged Drinking Water,Sealed packaged drinking water.,,As per MRP,,veg
ALL DAY,Beverage,Chilled Soft Drink,Chilled packaged soft drink; flavour as available.,60,,,veg
ALL DAY,Beverage,Fresh Lime Spark,"Fresh lemon, soda and a light touch of sweetness.",99,,,veg
ALL DAY,Beverage,Masala Tea,Freshly brewed milk tea with aromatic Indian spices.,49,,,veg
ALL DAY,Beverage,Green Tea,Light and refreshing green tea.,69,,,veg
ALL DAY,Beverage,Black Coffee,Freshly brewed black coffee.,79,,,veg
ALL DAY,Beverage,Cold Coffee,"Chilled creamy coffee, lightly sweetened.",129,,,veg
ALL DAY,Add-On,Extra Egg Boost,Add one egg to your meal.,35,,,egg
ALL DAY,Add-On,Extra Whey Scoop,One extra scoop of whey protein.,129,,,veg
